key,value,formatted,source,league,analysis,sample,estimand
NBAUpdateQOne,447,447,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nba,feed,all,q25_updates
NBAUpdateQThree,488,488,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nba,feed,all,q75_updates
NFLCompletedGames,1855,"1,855",feed_coverage_by_season.csv,nfl,coverage,all,completed_games
NFLCoverageRows,"2018 & 256 & 254 & 254 & 0 \\
2019 & 256 & 255 & 255 & 0 \\
2020 & 256 & 255 & 255 & 0 \\
2021 & 272 & 271 & 271 & 0 \\
2022 & 272 & 269 & 269 & 0 \\
2023 & 272 & 272 & 272 & 0 \\
2024 & 272 & 272 & 272 & 0 \\","
2018 & 256 & 254 & 254 & 0 \\
2019 & 256 & 255 & 255 & 0 \\
2020 & 256 & 255 & 255 & 0 \\
2021 & 272 & 271 & 271 & 0 \\
2022 & 272 & 269 & 269 & 0 \\
2023 & 272 & 272 & 272 & 0 \\
2024 & 272 & 272 & 272 & 0 \\
",feed_coverage_by_season.csv,nfl,coverage,season,rows
NFLCrossingNinetyCILower,-0.00946642692562913,-0.9\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,ci_lower
NFLCrossingNinetyCIUpper,0.0280041367010763,2.8\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,ci_upper
NFLCrossingNinetyEpisodes,1974,"1,974",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,episodes
NFLCrossingNinetyFiveAllCILower,-0.00212512356747238,-0.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,all_updates,ci_lower
NFLCrossingNinetyFiveAllCIUpper,0.0269021706082544,2.7\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,all_updates,ci_upper
NFLCrossingNinetyFiveAllEpisodes,1932,"1,932",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,all_updates,episodes
NFLCrossingNinetyFiveAllGames,1847,"1,847",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,all_updates,games
NFLCrossingNinetyFiveAllImplied,0.0319022256728778,3.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,all_updates,implied_loss
NFLCrossingNinetyFiveAllLoss,0.0439958592132505,4.4\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,all_updates,observed_loss
NFLCrossingNinetyFiveAllResidual,0.0120936335403726,1.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,all_updates,residual
NFLCrossingNinetyFiveCILower,-0.00215296972738445,-0.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,ci_lower
NFLCrossingNinetyFiveCIUpper,0.0285149680305527,2.9\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,ci_upper
NFLCrossingNinetyFiveEpisodes,1842,"1,842",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,episodes
NFLCrossingNinetyFiveGames,1772,"1,772",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,games
NFLCrossingNinetyFiveImplied,0.0334484799131378,3.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,implied_loss
NFLCrossingNinetyFiveLoss,0.0461454940282302,4.6\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nfl,first_crossing,preterminal,observed_loss
